model,layer,mode,logN,forward_time,backward_time,update_time,num_cores
lenet,Conv2D_1_6_5_5,HE,13,2.631575,2.697997,0.006133,40
lenet,Conv2D_1_6_5_5,Plain,-,0.000452,0.001195,0.000001,40
lenet,Activation_ReLU3,HE,13,0.040580,0.040096,0.000004,40
lenet,Activation_ReLU3,Plain,-,0.000044,0.000031,0.000001,40
lenet,Conv2D_6_16_5_5,HE,13,4.485848,16.208412,0.006193,40
lenet,Conv2D_6_16_5_5,Plain,-,0.004774,0.013232,0.000007,40
lenet,Activation_ReLU3,HE,13,0.039493,0.040793,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000076,0.000074,0.000000,40
lenet,Linear_256_120,HE,13,14.365850,69.991958,0.752705,40
lenet,Linear_256_120,Plain,-,0.000072,0.000246,0.000212,40
lenet,Activation_ReLU3,HE,13,0.039237,0.040117,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000004,0.000006,0.000000,40
lenet,Linear_120_84,HE,13,19.916056,44.783576,0.531857,40
lenet,Linear_120_84,Plain,-,0.000057,0.000087,0.000021,40
lenet,Activation_ReLU3,HE,13,0.039618,0.040755,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000005,0.000001,0.000000,40
lenet,Linear_84_10,HE,13,1.107597,7.485051,0.064311,40
lenet,Linear_84_10,Plain,-,0.000005,0.000013,0.000003,40
lenet,Conv2D_1_6_5_5,HE,13,2.223598,2.433794,0.005679,40
lenet,Conv2D_1_6_5_5,Plain,-,0.000445,0.001205,0.000001,40
lenet,Activation_ReLU3,HE,13,0.036823,0.037865,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000019,0.000017,0.000000,40
lenet,Conv2D_6_16_5_5,HE,13,3.777853,42.498002,0.006937,40
lenet,Conv2D_6_16_5_5,Plain,-,0.005859,0.017661,0.000024,40
lenet,Activation_ReLU3,HE,13,0.045283,0.045244,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000084,0.000060,0.000000,40
lenet,Linear_256_120,HE,13,13.264248,55.497743,0.794772,40
lenet,Linear_256_120,Plain,-,0.000090,0.000246,0.000201,40
lenet,Activation_ReLU3,HE,13,0.042037,0.043096,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000003,0.000004,0.000000,40
lenet,Linear_120_84,HE,13,8.817214,24.279565,0.478719,40
lenet,Linear_120_84,Plain,-,0.000027,0.000054,0.000075,40
lenet,Activation_ReLU3,HE,13,0.036410,0.037762,0.000001,40
lenet,Activation_ReLU3,Plain,-,0.000002,0.000002,0.000000,40
lenet,Linear_84_10,HE,13,1.008145,6.670866,0.057649,40
lenet,Linear_84_10,Plain,-,0.000017,0.000011,0.000003,40
audio1d,Conv2D_12_16_1_3,HE,13,0.842721,3.236478,0.005451,40
audio1d,Conv2D_12_16_1_3,Plain,-,0.000002,0.000001,0.000007,40
audio1d,Activation_ReLU3,HE,13,0.036430,0.037742,0.000001,40
audio1d,Activation_ReLU3,Plain,-,0.000054,0.000055,0.000000,40
audio1d,MaxPool1D_2,Plain,-,0.000030,0.000010,0.000001,40
